ozone,dzone,fare
6,73,8.70904
6,74,8.04926
6,75,11.3481
6,76,10.6884
6,77,7.38949
6,78,6.72971
6,79,14.647
7,1,10.6884
7,2,13.3275
7,3,11.3481
7,4,1.45151
7,5,1.45151
7,6,1.45151
7,7,1.45151
7,8,1.45151
7,9,1.45151
7,10,1.45151
7,11,2.77106
7,12,2.77106
7,13,4.09061
7,14,3.43083
7,15,5.41016
7,16,4.75039
7,17,2.11128
7,18,2.77106
7,19,2.11128
7,20,6.06994
7,21,7.38949
7,22,6.72971
7,23,3.43083
7,24,3.43083
7,25,3.43083
7,26,6.06994
7,27,5.41016
7,28,4.75039
7,29,5.41016
7,30,5.41016
7,31,6.72971
7,32,11.3481
7,33,10.6884
7,34,10.0286
7,35,9.36882
7,36,8.70904
7,37,8.04926
7,38,7.38949
7,39,6.72971
7,40,8.04926
7,41,7.38949
7,42,10.0286
7,43,8.04926
7,44,10.0286
7,45,10.6884
7,46,8.70904
7,47,8.70904
7,48,9.36882
7,49,11.3481
7,50,10.6884
7,51,11.3481
7,52,12.0079
7,53,11.3481
7,54,14.647
7,55,15.9666
7,56,15.3068
7,57,4.75039
7,58,2.11128
7,59,1.45151
7,60,4.75039
7,61,4.09061
7,62,3.43083
7,63,6.06994
7,64,9.36882
7,65,13.9872
7,66,13.3275
7,67,13.3275
7,68,13.9872
7,69,13.3275
7,70,12.0079
7,71,9.36882
7,72,8.70904
7,73,8.04926
7,74,7.38949
7,75,10.6884
7,76,10.0286
7,77,6.72971
7,78,6.06994
7,79,13.9872
8,1,9.36882
8,2,12.6677
8,3,10.6884
8,4,2.11128
8,5,2.11128
8,6,1.45151
8,7,1.45151
8,8,1.45151
8,9,1.45151
8,10,1.45151
8,11,1.45151
8,12,2.11128
8,13,3.43083
8,14,2.77106
8,15,4.75039
8,16,4.09061
8,17,1.45151
8,18,2.77106
8,19,2.11128
8,20,6.06994
8,21,7.38949
8,22,6.72971
8,23,3.43083
8,24,3.43083
8,25,3.43083
8,26,6.06994
8,27,5.41016
8,28,4.75039
8,29,5.41016
8,30,4.09061
8,31,6.72971
8,32,11.3481
8,33,10.6884
8,34,10.0286
8,35,9.36882
8,36,8.70904
8,37,8.04926
8,38,7.38949
8,39,5.41016
8,40,6.72971
8,41,6.06994
8,42,8.70904
8,43,6.72971
8,44,8.70904
8,45,9.36882
8,46,8.04926
8,47,8.70904
8,48,9.36882
8,49,10.0286
8,50,9.36882
8,51,10.0286
8,52,10.6884
8,53,10.0286
8,54,13.3275
8,55,14.647
8,56,13.9872
8,57,4.09061
8,58,3.43083
8,59,2.11128
8,60,4.09061
8,61,4.09061
8,62,3.43083
8,63,6.06994
8,64,8.04926
8,65,12.6677
8,66,12.0079
8,67,12.0079
8,68,13.3275
8,69,12.6677
8,70,11.3481
8,71,8.70904
8,72,8.04926
8,73,7.38949
8,74,6.72971
8,75,10.0286
8,76,9.36882
8,77,6.06994
8,78,5.41016
8,79,13.3275
9,1,10.0286
9,2,13.3275
9,3,11.3481
9,4,2.11128
9,5,1.45151
9,6,1.45151
9,7,1.45151
9,8,1.45151
9,9,1.45151
9,10,1.45151
9,11,2.11128
9,12,2.77106
9,13,4.09061
9,14,3.43083
9,15,4.75039
9,16,4.09061
9,17,1.45151
9,18,2.11128
9,19,1.45151
9,20,5.41016
9,21,6.72971
9,22,6.06994
9,23,2.77106
